vcf_sample	bed_sample
SAMEA111507436	SAMEA111508064-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507437	SAMEA111508068-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507438	SAMEA111508072-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507439	SAMEA111508076-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507440	SAMEA111508080-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507441	SAMEA111508084-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507442	SAMEA111508088-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507443	SAMEA111508092-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507444	SAMEA111508096-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507445	SAMEA111508100-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507446	SAMEA111508104-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507447	SAMEA111508108-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507448	SAMEA111508112-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507449	SAMEA111508116-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507450	SAMEA111508120-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507451	SAMEA111508124-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507452	SAMEA111508128-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507453	SAMEA111508132-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507454	SAMEA111508136-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507455	SAMEA111508140-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507456	SAMEA111508144-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507457	SAMEA111508148-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507458	SAMEA111508152-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507459	SAMEA111508156-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507460	SAMEA111508160-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507461	SAMEA111508164-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507462	SAMEA111508168-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507463	SAMEA111508172-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507464	SAMEA111508176-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507465	SAMEA111508180-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507466	SAMEA111508184-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507467	SAMEA111508188-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507468	SAMEA111508192-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507469	SAMEA111508196-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507470	SAMEA111508200-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507471	SAMEA111508204-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507472	SAMEA111508208-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507473	SAMEA111508212-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507474	SAMEA111508216-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507475	SAMEA111508220-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507476	SAMEA111508224-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507477	SAMEA111508228-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507478	SAMEA111508232-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507479	SAMEA111508236-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507480	SAMEA111508240-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507481	SAMEA111508244-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507482	SAMEA111508248-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507483	SAMEA111508252-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507484	SAMEA111508256-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507485	SAMEA111508260-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507486	SAMEA111508264-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507487	SAMEA111508268-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507488	SAMEA111508272-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507489	SAMEA111508276-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507490	SAMEA111508280-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507491	SAMEA111508284-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507492	SAMEA111508288-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507493	SAMEA111508292-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507494	SAMEA111508296-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507495	SAMEA111508300-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507496	SAMEA111508304-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507497	SAMEA111508308-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507498	SAMEA111508312-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507499	SAMEA111508316-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507500	SAMEA111508320-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507501	SAMEA111508324-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507502	SAMEA111508328-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507503	SAMEA111508332-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507504	SAMEA111508336-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507505	SAMEA111508340-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507506	SAMEA111508344-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507507	SAMEA111508348-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507508	SAMEA111508352-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507509	SAMEA111508356-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507510	SAMEA111508360-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507511	SAMEA111508364-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507512	SAMEA111508368-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507513	SAMEA111508372-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507514	SAMEA111508376-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507515	SAMEA111508380-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507517	SAMEA111508388-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507518	SAMEA111508392-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507519	SAMEA111508396-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507520	SAMEA111508400-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507521	SAMEA111508404-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507522	SAMEA111508408-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507523	SAMEA111508412-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507524	SAMEA111508416-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507525	SAMEA111508420-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507526	SAMEA111508424-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507527	SAMEA111508428-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507528	SAMEA111508431-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507529	SAMEA111508434-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507530	SAMEA111508437-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507531	SAMEA111508440-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507532	SAMEA111508443-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507534	SAMEA111508449-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507535	SAMEA111508452-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507536	SAMEA111508455-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507537	SAMEA111508458-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507538	SAMEA111508461-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507539	SAMEA111508464-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507540	SAMEA111508467-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507541	SAMEA111508470-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507542	SAMEA111508473-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507543	SAMEA111508476-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507544	SAMEA111508479-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507545	SAMEA111508482-STARAligned.sortedByCoord.out.unique_rg_added.dedup
